source,target,weight,type
Ab_2,UTDM,1,UNDIRECTED
Al_3,NSPM,1,UNDIRECTED
Al_3,UVST,2,UNDIRECTED
Al_3,YHLQ,2,UNDIRECTED
An_4,YHLQ,1,UNDIRECTED
Ar_5,NSPM,1,UNDIRECTED
Ar_6,NSPM,3,UNDIRECTED
Ba_1,UVST,1,UNDIRECTED
Ba_1,UTDM,1,UNDIRECTED
Bi_7,DTMF,3,UNDIRECTED
Bo_8,UVST,1,UNDIRECTED
Br_9,NSPM,1,UNDIRECTED
Bu_10,UVST,1,UNDIRECTED
By_11,NSPM,1,UNDIRECTED
By_11,UVST,1,UNDIRECTED
C-_12,UVST,1,UNDIRECTED
Ca_13,UTDM,2,UNDIRECTED
Ch_14,UVST,1,UNDIRECTED
Ch_15,UVST,1,UNDIRECTED
Ch_16,UTDM,2,UNDIRECTED
Ch_16,NSPM,2,UNDIRECTED
Ch_16,YHLQ,1,UNDIRECTED
Ch_17,DTMF,1,UNDIRECTED
Ch_18,DTMF,1,UNDIRECTED
Da_19,YHLQ,1,UNDIRECTED
Da_20,UVST,1,UNDIRECTED
De_21,UTDM,1,UNDIRECTED
De_21,UVST,1,UNDIRECTED
De_22,NSPM,1,UNDIRECTED
De_23,DTMF,1,UNDIRECTED
De_24,YHLQ,1,UNDIRECTED
De_24,UVST,1,UNDIRECTED
DJ_25,NSPM,1,UNDIRECTED
DJ_26,YHLQ,1,UNDIRECTED
Du_27,YHLQ,1,UNDIRECTED
Dy_28,DTMF,1,UNDIRECTED
Dí_29,YHLQ,1,UNDIRECTED
Ed_30,NSPM,1,UNDIRECTED
Ed_31,DTMF,1,UNDIRECTED
El_32,NSPM,1,UNDIRECTED
El_33,YHLQ,1,UNDIRECTED
El_33,UVST,1,UNDIRECTED
El_33,DTMF,1,UNDIRECTED
El_33,UTDM,1,UNDIRECTED
EM_34,YHLQ,1,UNDIRECTED
EZ_35,YHLQ,1,UNDIRECTED
Fe_36,NSPM,1,UNDIRECTED
Fo_37,NSPM,2,UNDIRECTED
Fo_37,UTDM,1,UNDIRECTED
Fo_37,DTMF,1,UNDIRECTED
Fr_38,YHLQ,1,UNDIRECTED
Fr_39,NSPM,1,UNDIRECTED
Ga_40,YHLQ,1,UNDIRECTED
Ga_41,UTDM,2,UNDIRECTED
Ga_41,YHLQ,2,UNDIRECTED
Ga_41,NSPM,2,UNDIRECTED
Ha_42,DTMF,1,UNDIRECTED
Ha_43,NSPM,1,UNDIRECTED
Ha_44,YHLQ,1,UNDIRECTED
Ha_44,UTDM,1,UNDIRECTED
He_45,YHLQ,1,UNDIRECTED
Hi_46,UVST,1,UNDIRECTED
Hy_47,NSPM,1,UNDIRECTED
Hy_48,YHLQ,1,UNDIRECTED
Jh_49,UTDM,1,UNDIRECTED
Jh_49,YHLQ,1,UNDIRECTED
Jh_49,UVST,1,UNDIRECTED
Jo_50,NSPM,1,UNDIRECTED
