ID,name,type
Ab_2,Abra,artist
Al_3,Albert Hype,artist
An_4,Anuel AA,artist
Ar_5,Arcángel,artist
Ar_6,Argel,artist
Ba_1,Bass Charity,artist
Bi_7,Big Jay,artist
Bo_8,Bomba Estéreo,producer
Br_9,Bryant Myers,artist
Bu_10,Buscabulla,artist
By_11,Byrd,artist
C-_12,C-Gutta,artist
Ca_13,Caleb Calloway,artist
Ch_14,Chencho Corleone,artist
Ch_15,Cheo Legendary,artist
Ch_16,Chris Jedi,artist
Ch_17,Chuwi,artist
Ch_18,Chuíto,artist
Da_19,Daddy Yankee,artist
Da_20,Dahian el Apechao,artist
De_21,De La Cruz,artist
De_22,De La Ghetto,artist
De_23,Dei V,artist
De_24,Demy & Clipz,artist
DJ_25,DJ Joe,producer
DJ_26,DJ Orma,artist
Du_27,Duki,artist
Dy_28,Dysbit,artist
Dí_29,Dímelo Flow,artist
Ed_30,Edsclusive,artist
Ed_31,Eduardo Cabra,producer
El_32,Eladio Carrión,artist
El_33,Elikai,artist
EM_34,EMT,producer
EZ_35,EZ Made It,artist
Fe_36,Feid,artist
Fo_37,Foreign Teck,producer
Fr_38,Frank King,artist
Fr_39,Frankie,artist
Ga_40,Gabriela,artist
Ga_41,Gaby Music,artist
Ha_42,Hamed,artist
Ha_43,Hassi,producer
Ha_44,Hazen,artist
He_45,Henry De La Prida,artist
Hi_46,Hide Miyabi,artist
Hy_47,Hydro,artist
Hy_48,Hykeem Carter,artist
Jh_49,Jhayco,artist
Jo_50,Jon Mili,artist
Jo_51,Josh Conway,artist
Jo_52,Jota Rosa,artist
Jo_53,Jowell & Randy,artist
La_54,La Paciencia,artist
La_55,Lanalizer,artist
La_56,Lara Project,artist
Le_57,Lennex,artist
Lo_58,Los Pleneros de la Cresta,artist
Lu_59,Luar La L,producer
Ma_60,Mag,artist
Ma_61,Magicenelbeat,artist
Ma_62,Maker,artist
Ma_63,Maux,artist
Mi_64,Mick Coogan,producer
Mo_65,Mora,artist
Mr_66,Mr. NaisGai,artist
Mv_67,Mvsis,artist
MX_68,MXV,artist
My_69,Myke Towers,artist
Ne_70,Nesi (uncredited),artist
Ne_71,Nesty,artist
Ni_72,Nico Baran,artist
Om_73,Omar Courtz,artist
Pa_74,Pablo Chill-E,artist
Pa_75,Payday,artist
Ra_76,RaiNao,producer
Ra_77,Rauw Alejandro,artist
Ri_78,Richie López,artist
Ro_79,Rosalía,artist
Sa_80,Samuel Jiménez,producer
Sa_81,Saox,producer
Sa_82,Sauceman36,artist
Sc_83,Scott Dittrich,artist
Sc_84,Scotty Dittrich,artist
Se_85,Sech,artist
Sm_86,Smash David,artist
St_87,Stats,artist
Su_88,Subelo NEO,artist
Sú_89,Súbelo NEO,artist
Ta_90,Tainy,artist
Th_91,The Change,artist
Th_92,The Marías,artist
To_93,Tony Dize,artist
Tr_94,Trio Vegabajeño,artist
Wi_95,Wisin,artist
Ya_96,Yaviah,artist
Yo_97,Young Miko,artist
Yo_98,Yovngchimi,artist
Za_99,Zazu,artist
Zu_100,Zulia,artist
Ñe_101,Ñengo Flow,artist
DTMF,Debi Tirar Mas Fotos,album
NSPM,Nadie Sabe,album
UVST,Un Verano Sin Ti,album
YHLQ,YHLQMDLG,album
UTDM,El Ultimo Tour De Mundo,album
