code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_1,"* Becky G, Bad Bunny - Mayores (Official Video)",* Mayores,Mala Santa,17 July 2017,Mayores,"910,716,583","2,674,322,609"
BB_2,"* Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix 
(Video Oficial)",* Te Boté - Remix,single,13 April 2018,Te Boté,"1,357,304,496","2,636,971,655"
BB_3,"* Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",* No Me Conoce - Remix,Famouz,22 February 2019,No Me Conoce,"1,835,038,372","2,601,968,938"
BB_4,"* Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",* I Like It,Invasion of Privacy,25 May 2018,I Like It,"1,921,237,325","1,755,777,587"
BB_5,BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),DÁKITI,El Último Tour Del Mundo,20 October 2020,Dákiti,"2,496,052,063","1,741,048,346"
BB_6,BAD BUNNY x DRAKE - MÍA (Video Oficial),MIA,X 100pre,11 October 2018,Mía,"1,583,399,898","1,698,236,575"
BB_7,"* Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video 
oficial]",* Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),single,1 October 2016,Tu no Vive Asi,"748,939,234","1,515,195,075"
BB_8,"Diles - Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow",Diles,Hear This Music,26 August 2016,Diles,"1,383,097,539","1,447,665,893"
BB_9,BAD BUNNY - CALLAÍTA (Video Oficial),Callaita,Un Verano Sin Ti,31 May 2019,Callaíta,"1,848,018,529","1,328,791,703"
BB_10,BAD BUNNY - AMORFODA (Video Oficial),Amorfoda,single,14 February 2018,Amorfoda,"802,606,430","1,244,671,000"
BB_11,"* Nacho, Yandel, Bad Bunny - Báilame (Remix)",* Báilame - Remix,single,31 July 2017,Báilame - Remix,"591,559,659","1,171,011,851"
BB_12,BAD BUNNY - SOY PEOR (Video Oficial),Soy Peor,single,8 December 2016,Soy Peor,"651,129,802","1,168,016,203"
BB_13,"Bad Bunny ft. Chencho Corleone - Me Porto Bonito (Video Oficial) | Un 
Verano Sin Ti",Me Porto Bonito,Un Verano Sin Ti,20 June 2022,Me Porto Bonito,"2,290,329,410","1,153,828,926"
BB_14,"* Karol G, Bad Bunny - Ahora Me Llama (Official Video)",* Ahora Me Llama,,,,"439,426,505","1,109,084,022"
BB_15,* Soltera Remix - Lunay X Daddy Yankee X Bad Bunny ( Video Oficial ),* Soltera (Remix),single,10 May 2019,Soltera - remix,"1,200,415,713","1,098,778,122"
BB_16,* J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),* Si Tu Novio Te Deja Sola,single,3 March 2017,Si Tu Novio Te Deja Sola,"664,328,034","1,096,108,964"
BB_17,* Grupo Frontera x Bad Bunny - UN X100TO (Video Oficial),* un x100to,El Comienzo,17 April 2023,Un x100to,"1,536,004,475","1,084,544,157"
BB_18,Bad Bunny - Yonaguni (Video Oficial),Yonaguni,single,4 June 2021,Yonaguni,"1,672,722,072","1,081,189,371"
BB_19,Bad Bunny - Tití Me Preguntó (Video Oficial) | Un Verano Sin Ti,Tití Me Preguntó,Un Verano Sin Ti,6 May 2022,Tití me preguntó,"2,237,191,502","1,048,381,982"
BB_20,"* Arcángel, Bad Bunny - Me Acostumbré (Video Oficial)",* Me Acostumbre (feat. Bad Bunny),,,,"366,310,435","993,794,753"
BB_21,Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,Sensualidad,single,3 November 2017,Sensualidad,"727,702,521","966,871,981"
BB_22,J BALVIN x BAD BUNNY - LA CANCIÓN | OASIS (Video Oficial),* LA CANCIÓN,Oasis,2 August 2019,La Canción,"2,602,600,264","885,078,568"
